frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
4,5.0,[2191.6478133024234 1176.8233812055441 2791.0935314385447 1764.0777819169275],[2414.992919921875 1582.455322265625 2582.294677734375 1652.178955078125],0.5984618067741394,HW51NSU,0.2572243236964662
8,3.0,[718.9466932406232 1413.3503299268427 1422.0396020865915 2057.8416460035796],[938.5704345703125 1834.7464599609375 1173.2259521484375 1913.312255859375],0.6584987640380859,NA13NRU,0.3426898496917181
9,5.0,[2195.5916944486667 1192.673352345289 2827.891687484724 1794.9001259864444],[2427.920166015625 1612.1151123046875 2593.96240234375 1682.3895263671875],0.6536362171173096,HL51VSU,0.035544459615076844
12,5.0,[2195.443482747766 1204.6333464007485 2818.458593220452 1809.4218286941937],[2433.031494140625 1630.43701171875 2596.87158203125 1696.677978515625],0.5670886039733887,MO51VSV,0.03610281997864227
14,3.0,[687.0670910898568 1449.5347856740332 1403.3992908693392 2104.984583001058],[927.9014282226562 1875.3350830078125 1165.39306640625 1969.7061767578125],0.666191577911377,NA13NRU,0.25236446016750225
22,5.0,[2207.108932684485 1254.0689745111695 2850.804827197213 1875.3040010418185],[2435.833740234375 1690.137939453125 2613.19482421875 1763.6492919921875],0.6767507791519165,CZ51VSU,0.04840844634383155
29,6.0,[1170.7214595111484 1095.331415024312 1720.390160565835 1542.0843265940473],[1394.139892578125 1375.837646484375 1524.4808349609375 1433.015625],0.30679431557655334,GU15QCJ,0.04588921192543538
75,8.0,[1216.2274892376915 958.8034815226092 1656.3398768301256 1342.8296906270061],[1357.38330078125 1187.26220703125 1487.1163330078125 1248.0697021484375],0.2654936909675598,KH13SZK,0.11926980169660378
78,8.0,[1211.565546479717 972.0881428052537 1651.0886728391454 1348.461929606661],[1370.6810302734375 1204.9276123046875 1484.359619140625 1267.58642578125],0.3250373899936676,XJ05ZIK,0.20920585712683767
92,6.0,[985.0222234702119 1361.0448950427522 1685.168660055479 1900.7051539115564],[1236.803955078125 1704.4193115234375 1419.874267578125 1778.199462890625],0.702398419380188,GX15OGJ,0.25214198140454835
93,1.0,[2060.57872943584 1078.602495368914 2543.116462683061 1501.3027059609574],[2209.486572265625 1343.9168701171875 2406.777099609375 1410.153564453125],0.3604849874973297,XP05JEO,0.09842592418242092
94,6.0,[976.8844819354053 1367.4652407799736 1686.9748974564777 1909.8493288370114],[1229.9061279296875 1727.400146484375 1413.6068115234375 1794.01904296875],0.6150457262992859,GX15OGJ,0.3676222496336414
96,1.0,[2059.0006758911722 1086.6297249861232 2546.818673019822 1512.5429826579284],[2250.336181640625 1368.0396728515625 2386.467041015625 1427.916259765625],0.30536094307899475,IP05JEO,0.3152639351126698
97,1.0,[2058.2102455762774 1089.2636350367993 2547.7501921032285 1516.2086234394833],[2212.7763671875 1368.313232421875 2383.9345703125 1426.970703125],0.26805436611175537,AF05JEO,0.4128510438080769
100,1.0,[2053.7609701046 1093.4335488286679 2550.7243699063715 1528.3751313440948],[2219.607421875 1387.461181640625 2360.18408203125 1445.58984375],0.2568020522594452,AF05JEE,0.3076352207399216
