frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
93,1,2060.57872943584 1078.602495368914 2543.116462683061 1501.3027059609574,2209.486572265625 1343.9168701171875 2406.777099609375 1410.153564453125,0.3604849874973297,XP05JEO,0.09842592418242092
94,1,2060.0527115876175 1081.2782385746505 2544.350532795315 1505.0494648599476,2223.1031087239585 1351.9578043619792 2400.007080078125 1416.074462890625,0,0,0
95,1,2059.526693739395 1083.9539817803868 2545.5846029075683 1508.7962237589381,2236.7196451822915 1359.9987386067708 2393.237060546875 1421.995361328125,0,0,0
96,1,2059.0006758911722 1086.6297249861232 2546.818673019822 1512.5429826579284,2250.336181640625 1368.0396728515625 2386.467041015625 1427.916259765625,0.30536094307899475,IP05JEO,0.3152639351126698
97,1,2058.2102455762774 1089.2636350367993 2547.7501921032285 1516.2086234394833,2212.7763671875 1368.313232421875 2383.9345703125 1426.970703125,0.26805436611175537,AF05JEO,0.4128510438080769
98,1,2056.7271537523848 1090.6536063007554 2548.741584704276 1520.2641260743537,2215.0533854166665 1374.6958821614583 2376.0177408854165 1433.1770833333333,0,0,0
99,1,2055.2440619284926 1092.0435775647118 2549.732977305324 1524.3196287092244,2217.3304036458335 1381.0785319010417 2368.1009114583335 1439.3834635416667,0,0,0
100,1,2053.7609701046 1093.4335488286679 2550.7243699063715 1528.3751313440948,2219.607421875 1387.461181640625 2360.18408203125 1445.58984375,0.2568020522594452,AF05JEE,0.3076352207399216
101,1,2055.602946002884 1096.9471604264113 2554.5735950880053 1534.5693519694532,2224.6702880859375 1383.265380859375 2385.3526611328125 1445.0468139648438,0,0,0
102,1,2057.4449219011685 1100.4607720241547 2558.4228202696395 1540.7635725948116,2229.733154296875 1379.069580078125 2410.521240234375 1444.5037841796875,0.5465619564056396,AP05JEO,0.3021598824940366
103,1,2056.438850348495 1103.9231691172256 2558.841895114316 1546.0709767731835,2208.829833984375 1382.10498046875 2369.562744140625 1444.0650634765625,0.277940571308136,AP05JEO,0.6020312363047259
104,1,2054.375947164393 1107.5211240763128 2558.805893138409 1549.7580398531136,2221.315673828125 1387.447998046875 2413.243896484375 1459.3804931640625,0.5579121708869934,AP05JEO,0.48053481506405454
105,1,2055.059844287442 1110.6361158996851 2560.5917296169423 1553.4479926037452,2222.0595703125 1394.8963623046875 2413.867431640625 1461.6104736328125,0.5209181308746338,AP05JEO,0.22932293579459945
106,1,2054.684654989597 1112.6961875966517 2560.4271548544093 1555.77600524729,2214.5302734375 1399.0692138671875 2392.688232421875 1461.08740234375,0.4082432985305786,AP05JEO,0.2626959207333901
107,1,2054.7249338696847 1115.8852933680682 2561.581827867003 1559.3274593905358,2224.6590576171875 1404.8208618164062 2402.1190185546875 1468.1672973632812,0,0,0
108,1,2054.7652127497727 1119.074399139485 2562.7365008795973 1562.8789135337813,2234.787841796875 1410.572509765625 2411.5498046875 1475.2471923828125,0.5399513244628906,AP05JEO,0.5236323965548774
109,1,2055.0409931123468 1122.9035824997843 2563.4605841681805 1567.9673602917364,2230.751708984375 1412.9755249023438 2399.3504638671875 1477.7359008789062,0,0,0
110,1,2055.3167734749204 1126.7327658600836 2564.1846674567632 1573.0558070496916,2226.715576171875 1415.3785400390625 2387.151123046875 1480.224609375,0.3878380358219147,AP05JEO,0.27511980666621627
111,1,2054.0963580922485 1129.1088068406546 2565.5637221306647 1576.3606235857458,2237.408935546875 1417.3018798828125 2416.48681640625 1483.184326171875,0.4989638328552246,AF05JEO,0.7264377659944024
112,1,2054.744319117122 1132.2590116007805 2569.217477825705 1580.2384041536018,2235.077880859375 1419.8834228515625 2417.67138671875 1488.0233154296875,0,0,0
113,1,2055.392280141996 1135.4092163609066 2572.871233520745 1584.1161847214578,2232.746826171875 1422.4649658203125 2418.85595703125 1492.8623046875,0,0,0
114,1,2056.0402411668692 1138.5594211210325 2576.5249892157854 1587.9939652893138,2230.415771484375 1425.0465087890625 2420.04052734375 1497.7012939453125,0.5522564649581909,AF05JEO,0.42270782996198103
115,1,2054.236091565799 1140.1710885238829 2577.405674994825 1591.1431608033015,2228.701904296875 1428.1787109375 2431.29638671875 1506.292236328125,0.5194105505943298,AF05JEO,0.24704633217010485
116,1,2055.29120554974 1142.1082798048396 2580.8677601521313 1595.7651718876014,2228.46533203125 1431.064697265625 2440.094482421875 1511.0042724609375,0.517829954624176,AF05JEO,0.15132630571893133
117,1,2052.423974573152 1147.2443660211732 2579.6574489546447 1602.8076586572404,2221.070068359375 1440.6734619140625 2440.38427734375 1514.08447265625,0.38669353723526,AP05JEQ,0.2797187287275946
118,1,2051.1064923773247 1151.910721354453 2580.7258035104815 1607.3954421924482,2229.772216796875 1444.7490234375 2441.64697265625 1515.193359375,0.5206558108329773,AP05JEQ,0.29813831583207934
119,1,2052.7222886646873 1155.4634221847066 2583.919014333985 1612.2899629372234,2226.041259765625 1452.9615478515625 2431.908935546875 1521.45556640625,0.5026606321334839,AP05JEO,0.21912972911092532
120,1,2051.9459812168275 1161.082790686045 2586.534211099983 1620.3123037156597,2222.236083984375 1459.9600830078125 2416.796630859375 1529.3673095703125,0.5225738286972046,AP05JEO,0.17490088108715462
121,1,2051.2773721284593 1165.2959993857905 2587.915987009088 1625.6149312684975,2224.429484049479 1463.3939615885417 2420.293986002604 1533.9357096354167,0,0,0
122,1,2050.608763040091 1169.509208085536 2589.297762918193 1630.9175588213352,2226.6228841145835 1466.8278401692708 2423.7913411458335 1538.5041097005208,0,0,0
123,1,2049.940153951723 1173.7224167852814 2590.6795388272976 1636.220186374173,2228.8162841796875 1470.26171875 2427.2886962890625 1543.072509765625,0,0,0
124,1,2049.2715448633553 1177.935625485027 2592.061314736402 1641.5228139270105,2231.0096842447915 1473.6955973307292 2430.7860514322915 1547.6409098307292,0,0,0
125,1,2048.602935774987 1182.1488341847726 2593.443090645507 1646.8254414798482,2233.203084309896 1477.1294759114583 2434.283406575521 1552.2093098958333,0,0,0
126,1,2047.934326686619 1186.3620428845181 2594.8248665546116 1652.128069032686,2235.396484375 1480.5633544921875 2437.78076171875 1556.7777099609375,0.515346884727478,AP05JEO,0.2968720102735672
127,1,2048.7766004159926 1188.3930089318226 2596.6230739340986 1655.1196421733396,2235.02490234375 1478.8890380859375 2439.895751953125 1552.0902099609375,0.4121975004673004,AP05JEO,0.20130754658127578
128,1,2048.3338611711274 1189.7563074574143 2596.0672698769563 1658.346114381655,2228.093505859375 1487.52392578125 2449.09228515625 1562.7974853515625,0.45546644926071167,AP05JEO,0.38507059102922525
129,1,2048.1954978995373 1193.1984289884272 2597.094142899271 1664.056866385241,2232.5250244140625 1491.8243408203125 2446.3028564453125 1569.0704956054688,0,0,0
130,1,2048.057134627947 1196.64055051944 2598.1210159215857 1669.7676183888268,2236.95654296875 1496.124755859375 2443.513427734375 1575.343505859375,0.47835808992385864,AP05JEO,0.512303824073099
131,1,2046.9304835172547 1201.3779083587096 2599.588614695157 1675.3194635507832,2239.6015625 1499.0381469726562 2441.15234375 1578.6194458007812,0,0,0
132,1,2045.8038324065626 1206.1152661979793 2601.056213468729 1680.8713087127396,2242.24658203125 1501.9515380859375 2438.791259765625 1581.8953857421875,0.6217740178108215,AP05JEO,0.21389750755243897
133,1,2045.5718549597846 1209.0779790149793 2603.9146683884105 1683.6672892097347,2239.780029296875 1505.01708984375 2454.37890625 1587.971923828125,0.6067618131637573,AP05JEO,0.3596874113394518
134,1,2044.461140669051 1211.5557289920885 2604.776886935735 1686.69427240074,2238.27392578125 1512.346435546875 2454.98779296875 1587.7181396484375,0.6275562047958374,AP05JEO,0.4605528303788686
135,1,2044.8910434015502 1215.7281443092568 2607.9500587804546 1691.7129982468016,2239.9713134765625 1516.2264709472656 2456.5092163085938 1595.99755859375,0,0,0
136,1,2045.3209461340493 1219.900559626425 2611.123230625174 1696.7317240928633,2241.668701171875 1520.1065063476562 2458.0306396484375 1604.2769775390625,0,0,0
137,1,2045.7508488665483 1224.0729749435932 2614.296402469894 1701.7504499389247,2243.3660888671875 1523.9865417480469 2459.5520629882812 1612.556396484375,0,0,0
138,1,2046.1807515990474 1228.2453902607615 2617.4695743146135 1706.7691757849864,2245.0634765625 1527.8665771484375 2461.073486328125 1620.8358154296875,0.6427539587020874,AP05JEO,0.257533523746006
139,1,2047.2373264341952 1231.106268965637 2620.181065325257 1712.4938626189182,2243.9181518554688 1532.8399658203125 2460.6480102539062 1623.7527465820312,0,0,0
140,1,2048.2939012693428 1233.9671476705125 2622.8925563359007 1718.2185494528499,2242.7728271484375 1537.8133544921875 2460.2225341796875 1626.669677734375,0,0,0
141,1,2049.3504761044906 1236.8280263753882 2625.6040473465446 1723.9432362867815,2241.6275024414062 1542.7867431640625 2459.7970581054688 1629.5866088867188,0,0,0
142,1,2050.4070509396383 1239.6889050802636 2628.315538357188 1729.6679231207133,2240.482177734375 1547.7601318359375 2459.37158203125 1632.5035400390625,0.6559918522834778,AP05JEO,0.14964688507597917
143,1,2048.689038276236 1243.6149971692685 2630.673121568432 1737.0945520130444,2242.842529296875 1554.4619750976562 2459.16552734375 1635.4169311523438,0,0,0
144,1,2046.9710256128333 1247.5410892582731 2633.0307047796764 1744.5211809053758,2245.202880859375 1561.163818359375 2458.95947265625 1638.330322265625,0.6281902194023132,AP05JEO,0.2767602684042981
145,1,2048.3943006190975 1251.806204047577 2636.5342643124914 1750.3575080887204,2248.28759765625 1565.3961181640625 2462.747314453125 1636.6138916015625,0.5843940377235413,AP05JEO,0.17297759065338603
146,1,2048.759207107842 1256.670724157517 2638.681414682232 1757.4542447721867,2245.560302734375 1570.1517333984375 2471.4384765625 1644.69580078125,0.5623135566711426,AP05JEO,0.1562140328397687
147,1,2050.1244890924413 1260.8188851459156 2643.0542647595503 1764.3200669550934,2249.6263427734375 1574.9668579101562 2474.198974609375 1651.8084411621094,0,0,0
148,1,2051.4897710770406 1264.967046134314 2647.4271148368684 1771.1858891380002,2253.6923828125 1579.781982421875 2476.95947265625 1658.9210815429688,0,0,0
149,1,2052.85505306164 1269.1152071227125 2651.7999649141866 1778.0517113209069,2257.7584228515625 1584.5971069335938 2479.719970703125 1666.0337219238281,0,0,0
150,1,2054.220335046239 1273.263368111111 2656.1728149915048 1784.9175335038135,2261.824462890625 1589.4122314453125 2482.48046875 1673.1463623046875,0.6137110590934753,AP05JEO,0.3586139929623202
151,1,2056.2564474648534 1275.7209807999157 2660.766870940045 1789.750416849839,2248.932861328125 1587.9737548828125 2475.01171875 1674.3460693359375,0.6072529554367065,AP05JEO,0.4364880337766629
152,1,2051.5495637576114 1280.0759289227274 2658.671196010958 1793.9305694420889,2260.407958984375 1595.0189208984375 2473.794677734375 1680.3790283203125,0.6481205224990845,AP05JEO,0.3211681233243504
153,1,2052.1966979232034 1285.2768555205205 2662.2394107549103 1800.4381104234526,2264.4939575195312 1601.8117065429688 2477.8216552734375 1687.3592224121094,0,0,0
154,1,2052.8438320887954 1290.4777821183138 2665.8076254988628 1806.945651404816,2268.5799560546875 1608.6044921875 2481.8486328125 1694.3394165039062,0,0,0
155,1,2053.490966254388 1295.678708716107 2669.3758402428157 1813.4531923861798,2272.6659545898438 1615.3972778320312 2485.8756103515625 1701.3196105957031,0,0,0
156,1,2054.1381004199798 1300.8796353139 2672.944054986768 1819.9607333675435,2276.751953125 1622.1900634765625 2489.902587890625 1708.2998046875,0.6311482787132263,AP05JEO,0.4942808591145046
157,1,2047.974732993867 1302.5850771921264 2668.585532043665 1823.0303265161365,2269.25390625 1619.8388671875 2497.511474609375 1712.86083984375,0.6429517269134521,AP05JEO,0.5806570142329325
158,1,2051.1107951974204 1306.7411034770487 2670.4864046152243 1828.1770985699009,2272.0740559895835 1628.7091471354167 2493.7965494791665 1716.7933756510417,0,0,0
159,1,2054.2468574009736 1310.897129761971 2672.387277186783 1833.323870623665,2274.8942057291665 1637.5794270833333 2490.0816243489585 1720.7259114583333,0,0,0
160,1,2057.3829196045267 1315.0531560468933 2674.2881497583426 1838.4706426774294,2277.71435546875 1646.44970703125 2486.36669921875 1724.658447265625,0.6046501398086548,AP05JEO,0.29413003679530797
161,1,2057.209069271888 1319.7917761480076 2673.6708972332585 1844.6674192946693,2274.9873046875 1652.630615234375 2497.95263671875 1727.09228515625,0.6003333330154419,AP05JEO,0.43961213294341067
162,1,2053.4569496449603 1325.2070079800474 2674.443621272688 1853.2621757162383,2279.83349609375 1659.513916015625 2494.72705078125 1740.833251953125,0.6570285558700562,AP05JEO,0.278102413368313
163,1,2056.5450839830755 1329.0013738048929 2678.23222859582 1858.834694192909,2276.477783203125 1664.5286865234375 2501.4052734375 1745.9139404296875,0.6501631140708923,AP05JEO,0.4257786615591572
164,1,2062.58416459415 1333.5371077794946 2682.2857572023395 1866.800937403836,2278.1209716796875 1670.240478515625 2501.7930908203125 1755.890625,0,0,0
165,1,2068.6232452052245 1338.0728417540963 2686.339285808859 1874.7671806147632,2279.76416015625 1675.9522705078125 2502.180908203125 1765.8673095703125,0.6433746218681335,AP05JEO,0.1493158665202447
166,1,2066.8698972314573 1343.2623919598086 2684.00530375239 1881.4864855239734,2280.805908203125 1678.8856201171875 2518.090087890625 1766.8956298828125,0.6236301064491272,AP05JEO,0.2033590910851789
167,1,2063.0753149538536 1349.4121688766684 2684.1001662563444 1889.019578632576,2282.20654296875 1685.66015625 2506.70068359375 1769.91796875,0.6039260625839233,AP05JEO,0.401290062196189
168,1,2065.391927231646 1354.3668198749172 2687.1285958118283 1894.5422572976154,2284.370068359375 1690.7267578125 2510.8759765625 1776.739453125,0,0,0
169,1,2067.7085395094387 1359.321470873166 2690.157025367312 1900.0649359626548,2286.53359375 1695.793359375 2515.05126953125 1783.5609375,0,0,0
170,1,2070.025151787231 1364.2761218714147 2693.1854549227955 1905.5876146276944,2288.697119140625 1700.8599609375 2519.2265625 1790.382421875,0,0,0
171,1,2072.3417640650237 1369.2307728696635 2696.2138844782794 1911.1102932927338,2290.86064453125 1705.9265625 2523.40185546875 1797.20390625,0,0,0
172,1,2074.658376342816 1374.1854238679123 2699.2423140337633 1916.6329719577732,2293.024169921875 1710.9931640625 2527.5771484375 1804.025390625,0.6251866817474365,AP05JEO,0.3239517142114637
173,1,2080.163900109104 1379.1958857089562 2704.7820032378118 1923.552043021973,2296.7470703125 1720.3795166015625 2534.162353515625 1813.6893310546875,0.6370396614074707,AP05JED,0.2811807025180043
174,1,2081.71622765512 1385.1160813105016 2708.6137879353405 1931.0583698794323,2298.2348022460938 1727.4830932617188 2535.4100341796875 1820.209716796875,0,0,0
175,1,2083.2685552011353 1391.036276912047 2712.445572632869 1938.5646967368916,2299.7225341796875 1734.586669921875 2536.65771484375 1826.7301025390625,0,0,0
176,1,2084.820882747151 1396.9564725135924 2716.2773573303975 1946.0710235943511,2301.2102661132812 1741.6902465820312 2537.9053955078125 1833.25048828125,0,0,0
177,1,2086.3732102931667 1402.8766681151378 2720.1091420279263 1953.5773504518104,2302.697998046875 1748.7938232421875 2539.153076171875 1839.7708740234375,0,0,0
178,1,2087.9255378391827 1408.7968637166832 2723.940926725455 1961.0836773092697,2304.1857299804688 1755.8973999023438 2540.4007568359375 1846.291259765625,0,0,0
179,1,2089.477865385198 1414.7170593182286 2727.772711422984 1968.5900041667292,2305.6734619140625 1763.0009765625 2541.6484375 1852.8116455078125,0,0,0
180,1,2091.0301929312136 1420.637254919774 2731.604496120512 1976.0963310241884,2307.1611938476562 1770.1045532226562 2542.8961181640625 1859.33203125,0,0,0
181,1,2092.5825204772295 1426.5574505213194 2735.436280818041 1983.6026578816477,2308.64892578125 1777.2081298828125 2544.143798828125 1865.8524169921875,0.6462107300758362,AP05JEO,0.2061965674115423
182,1,2092.6991038468914 1429.2721905274955 2740.89103041025 1989.4253195540507,2304.381103515625 1780.275146484375 2547.443359375 1871.718017578125,0.6633107662200928,AP05JED,0.1556364249102981
183,1,2089.183495077055 1433.9803281573074 2748.0024744092666 1995.7456507343588,2306.64794921875 1788.599853515625 2544.826416015625 1876.220947265625,0.6602593064308167,AP05JED,0.2042899784231025
184,1,2088.8505908736506 1438.8837583697032 2752.882876714235 2001.2385166060158,2305.673828125 1791.4757080078125 2552.70068359375 1876.7208251953125,0.6480932831764221,AP05JEO,0.28377075532756857
185,1,2091.6158437996332 1445.6621557012238 2758.7635101738874 2009.1620287243538,2318.830810546875 1800.1915283203125 2560.789306640625 1897.4183349609375,0.6391019225120544,AP05JEO,0.2824803324270446
186,1,2091.282236360933 1452.3005109894411 2761.7649001574086 2017.6126850156145,2321.13427734375 1807.6272216796874 2562.13447265625 1902.5798583984374,0,0,0
187,1,2090.9486289222323 1458.9388662776585 2764.76629014093 2026.0633413068751,2323.437744140625 1815.0629150390625 2563.479638671875 1907.7413818359375,0,0,0
188,1,2090.615021483532 1465.5772215658758 2767.7676801244515 2034.5139975981356,2325.7412109375 1822.4986083984375 2564.8248046875 1912.9029052734375,0,0,0
189,1,2090.2814140448313 1472.2155768540931 2770.7690701079728 2042.9646538893962,2328.044677734375 1829.9343017578126 2566.169970703125 1918.0644287109376,0,0,0
190,1,2089.947806606131 1478.8539321423104 2773.770460091494 2051.415310180657,2330.34814453125 1837.3699951171875 2567.51513671875 1923.2259521484375,0.660021185874939,AP05JEO,0.256100032467247
191,1,2086.485296426893 1487.4961975106721 2770.7434898517686 2061.63537050627,2323.45703125 1847.309326171875 2572.497314453125 1937.9263916015625,0.6492233276367188,AP05JEO,0.27326972786694675
192,1,2087.686804044848 1495.9036838862232 2774.226097701224 2071.3447942363605,2318.752685546875 1857.7318115234375 2576.651611328125 1957.0130615234375,0.6559094190597534,AP05JEO,0.6119859313231054
