                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8256,                 2.1965,                 1.2952,                0.66508,                0.69403,                 0.7052,                0.50942,                0.91438,                 3.1475,                 1.4293,                0.00056,                0.00056,                0.00056
                      2,                 1.1642,                 1.6264,                 1.5511,                0.24884,                0.20896,                 0.1325,                0.06298,                 2.1952,                 6.6585,                 3.6166,              0.0010271,              0.0010271,              0.0010271
                      3,                 1.3345,                 1.7441,                 1.6963,                0.15998,                0.45522,                0.15046,                0.06123,                 1.8744,                 13.997,                 2.6241,              0.0013794,              0.0013794,              0.0013794
                      4,                  1.372,                 1.6129,                 1.7336,                0.44496,                 0.4403,                0.37737,                0.18334,                 1.8752,                 2.2354,                 2.7607,               0.001406,               0.001406,               0.001406
                      5,                 1.3345,                 1.5225,                 1.7243,                0.48316,                0.48507,                0.46027,                0.22174,                 1.5609,                 3.8131,                 2.1052,               0.001208,               0.001208,               0.001208
                      6,                 1.2557,                 1.3671,                 1.6428,                 0.6669,                0.64179,                0.66413,                0.37776,                 1.3533,                 1.7185,                 1.8558,                0.00101,                0.00101,                0.00101
                      7,                  1.157,                 1.3178,                 1.5337,                0.64677,                 0.6791,                0.69316,                0.44792,                 1.1124,                 1.6816,                 1.5284,               0.000812,               0.000812,               0.000812
                      8,                 1.0436,                  1.145,                 1.4434,                0.73285,                0.77612,                0.77975,                0.51798,                 1.1292,                 1.1568,                 1.6352,               0.000614,               0.000614,               0.000614
                      9,                0.98672,                 1.0553,                 1.4161,                0.78313,                0.76866,                0.81914,                0.56769,                0.98902,                0.99578,                 1.3856,               0.000416,               0.000416,               0.000416
                     10,                0.89687,                 1.0134,                 1.3461,                0.79257,                0.76988,                0.84759,                0.63093,                0.86855,                0.91586,                 1.2862,               0.000218,               0.000218,               0.000218
