                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4128,                 9.7927,                0.70631,                 1.9584,                 1.6188,                0.72585,                0.68421,                0.80717,                0.49638,                      0,                      0,                      0,                      0,                 1.3007,                 10.487,                0.70202,                 1.8065,                  1.513,                0.00016,                0.00016,                0.00016
                      2,                 1.0722,                 9.5653,                0.70737,                 1.1314,                 1.3566,                0.90415,                0.73684,                0.91861,                0.60961,                      0,                      0,                      0,                      0,                 1.2355,                 10.186,                0.70328,                 1.7058,                  1.519,              0.0003298,              0.0003298,              0.0003298
                      3,                 1.0652,                 8.9322,                0.69777,                0.95319,                 1.3423,                0.96408,                0.86842,                0.95628,                0.68309,                      0,                      0,                      0,                      0,                 1.0472,                 9.5525,                0.69864,                0.97809,                  1.269,              0.0004888,              0.0004888,              0.0004888
                      4,                0.98408,                 8.6158,                0.69754,                0.82028,                 1.2972,                0.95759,                0.78947,                0.90299,                0.61462,                      0,                      0,                      0,                      0,                 1.2252,                 9.2496,                0.69752,                0.98704,                 1.5147,               0.000637,               0.000637,               0.000637
                      5,                 1.0923,                 8.1568,                0.69132,                0.89902,                 1.3386,                0.82159,                0.96955,                0.95611,                0.62458,                0.07797,                0.05263,                0.03804,                 0.0038,                 1.2224,                 8.1217,                 0.6767,                 1.3679,                 1.4574,              0.0007744,              0.0007744,              0.0007744
                      6,                 1.0496,                 8.1129,                0.68153,                0.84351,                 1.3102,                0.84081,                0.97296,                0.96136,                0.58223,                      0,                      0,                      0,                      0,                  1.435,                 7.8866,                0.64896,                 1.3597,                 1.7979,               0.000901,               0.000901,               0.000901
                      7,                 1.0299,                 7.8522,                 0.6736,                0.83378,                 1.2983,                0.94066,                0.83441,                0.94141,                 0.6234,                0.13515,                0.05263,                 0.0175,                0.00453,                 1.1791,                 8.2278,                0.66244,                 1.0943,                 1.4657,              0.0010168,              0.0010168,              0.0010168
                      8,                0.94812,                  7.408,                0.67955,                0.84195,                 1.2427,                 0.9493,                0.76316,                0.90145,                0.54009,                0.07549,                0.02632,                 0.0262,                0.00524,                 1.4479,                 7.8926,                0.61958,                 1.2604,                 1.8686,              0.0011218,              0.0011218,              0.0011218
                      9,                0.99883,                 7.4135,                0.66796,                0.83337,                  1.288,                0.83145,                0.78947,                0.90209,                0.56297,                0.03527,                0.02632,                0.00192,                0.00019,                 1.2442,                 7.7184,                0.58102,                 1.5861,                 1.6977,               0.001216,               0.001216,               0.001216
                     10,                 1.0661,                 7.1967,                0.66001,                 0.8247,                 1.3273,                0.82874,                0.84211,                0.91701,                0.58927,                0.08448,                0.07895,                0.00995,                0.00115,                 1.2782,                 7.4545,                0.60702,                 1.2777,                 1.6526,              0.0012994,              0.0012994,              0.0012994
                     11,                 1.0467,                 6.9748,                0.66164,                0.85424,                 1.3265,                0.83129,                0.86842,                0.93328,                0.55866,                 0.0414,                0.05263,                0.00576,                 0.0009,                 1.4357,                 8.6986,                0.67367,                 1.2498,                 1.9197,               0.001372,               0.001372,               0.001372
                     12,                0.95334,                 6.8701,                0.64984,                0.77321,                 1.2383,                0.78065,                0.76316,                0.79279,                0.44295,                0.07377,                0.05263,                0.00797,                 0.0008,                 1.6513,                 7.6483,                0.63563,                 1.6854,                 2.1616,                0.00134,                0.00134,                0.00134
                     13,                0.99662,                 6.6142,                0.64318,                0.77722,                 1.3056,                0.75703,                0.78947,                0.81669,                0.44631,                0.26365,                0.15789,                0.10226,                0.02305,                 1.6042,                 7.7955,                0.65086,                 1.7042,                 1.9579,                0.00128,                0.00128,                0.00128
                     14,                0.92857,                 6.6047,                0.64942,                0.70836,                 1.2171,                 0.8109,                0.84211,                0.87739,                0.60033,                0.41943,                0.34211,                0.18919,                0.03733,                 1.2073,                 6.4878,                0.59719,                 1.1848,                 1.6545,                0.00122,                0.00122,                0.00122
                     15,                 0.9519,                 6.3347,                0.64774,                0.78462,                 1.2558,                0.82189,                0.76316,                0.84426,                0.52146,                0.39076,                0.23684,                0.20845,                0.02993,                 1.5784,                 6.4169,                0.58753,                 1.6446,                 2.0449,                0.00116,                0.00116,                0.00116
                     16,                0.94292,                 6.4206,                0.63806,                0.76744,                 1.2719,                0.82758,                0.75799,                0.81624,                0.49203,                0.45099,                0.28947,                0.27758,                0.04197,                 1.3631,                 6.4942,                0.60912,                 1.7289,                  1.699,                 0.0011,                 0.0011,                 0.0011
                     17,                0.87419,                 6.0715,                0.64371,                0.71677,                 1.2004,                0.93655,                0.77708,                0.86023,                0.46919,                0.44091,                0.36842,                0.21586,                0.04124,                 1.7654,                 6.3477,                0.62009,                 1.3812,                 1.9512,                0.00104,                0.00104,                0.00104
